indi test_time age state gender farm trBVs
f11_24583 180.3 276.3 0 F 11 -0.344220417665091
f11_24596 0 112 0 F 11 -0.302703187176728
f11_24596 51.8 163.8 0 F 11 -0.302703187176728
f11_24596 103.8 215.8 0 F 11 -0.302703187176728
f11_24596 155.7 267.7 0 F 11 -0.302703187176728
f11_24596 208 320 0 F 11 -0.302703187176728
f11_24596 241.1 353.1 0 F 11 -0.302703187176728
f11_24603 0 52 0 F 11 -0.0574193099468815
f11_24603 51.8 103.8 0 F 11 -0.0574193099468815
f11_24603 63.7 115.7 0 F 11 -0.0574193099468815
f11_24606 0 203 0 F 11 -0.67618966252421
f11_24606 0.5 203.5 0 F 11 -0.67618966252421
f11_24631 260 115.1 0 F 11 -0.28379054879873
f11_24649 257 148.7 0 F 11 0.0257422889030151
f11_24678 88.2 109.8 0 F 11 0.0791304176845086
f11_24680 0 66.2 1 F 11 -0.293966789614188
f11_24680 51.8 118 1 F 11 -0.293966789614188
f11_24680 54.1 120.3 1 F 11 -0.293966789614188
f11_24702 0 69 0 F 11 0.114353245788821
f11_24702 51.8 120.8 0 F 11 0.114353245788821
f11_24702 76.1 145.1 0 F 11 0.114353245788821
f11_24704 103.8 150.3 0 F 11 -0.726847079947152
f11_24704 115.2 161.6 0 F 11 -0.726847079947152
f11_24705 103.8 121.4 0 F 11 0.402446632794602
f11_24705 117 134.5 0 F 11 0.402446632794602
f11_24746 0 159.3 1 F 11 0.550294480557639
f11_24746 3.8 163.1 1 F 11 0.550294480557639
f11_24748 208 113 0 F 11 0.493073402173309
f11_24748 252.6 157.6 0 F 11 0.493073402173309
f11_24762 155.7 136.4 0 F 11 0.195624471646165
f11_24762 208 188.7 0 F 11 0.195624471646165
f11_24762 260 240.7 0 F 11 0.195624471646165
f11_24766 208 115.7 0 F 11 0.718100718118638
f11_24766 260 167.7 0 F 11 0.718100718118638
f11_24781 0 176 0 F 11 -0.932757457743687
f11_24781 51.8 227.8 0 F 11 -0.932757457743687
f11_24781 103.8 279.8 0 F 11 -0.932757457743687
f11_24781 155.7 331.7 0 F 11 -0.932757457743687
f11_24781 208 384 0 F 11 -0.932757457743687
f11_24781 242.6 418.6 0 F 11 -0.932757457743687
f11_24794 0 1.7 1 F 11 -0.0548686746171381
f11_24794 51.8 53.4 1 F 11 -0.0548686746171381
f11_24794 88.4 90 1 F 11 -0.0548686746171381
f11_24799 0 5.5 1 F 11 0.538062588043018
f11_24799 51.8 57.3 1 F 11 0.538062588043018
f11_24799 55.7 61.3 1 F 11 0.538062588043018
f11_24801 0 8 0 F 11 -1.02354606144829
f11_24801 51.8 59.8 0 F 11 -1.02354606144829
f11_24801 81.1 89.1 0 F 11 -1.02354606144829
f11_24816 260 117.3 0 F 11 1.06592768540542
f11_24831 0 186 0 F 11 -0.638357380125044
f11_24831 51.8 237.8 0 F 11 -0.638357380125044
f11_24831 103.8 289.8 0 F 11 -0.638357380125044
f11_24831 155.7 341.7 0 F 11 -0.638357380125044
f11_24831 208 394 0 F 11 -0.638357380125044
f11_24831 208.3 394.3 0 F 11 -0.638357380125044
f11_24858 0 42 0 F 11 0.82596432106821
f11_24858 51.8 93.8 0 F 11 0.82596432106821
